algorithm,dist,slope
Insertion,Uniform,1.972
TimSort,Uniform,1.176
Shell-Hibbard,Uniform,1.273
Shell-Sedgewick,Uniform,1.264
Shell-Powers2+1,Uniform,1.252
Shell-3Smooth,Uniform,1.294
Shell-Knuth,Uniform,1.28
Insertion,Almost,1.187
TimSort,Almost,0.976
Shell-Hibbard,Almost,1.196
Shell-Sedgewick,Almost,1.189
Shell-Powers2+1,Almost,1.152
Shell-3Smooth,Almost,1.289
Shell-Knuth,Almost,1.158
Insertion,TwoRuns,1.947
TimSort,TwoRuns,0.904
Shell-Hibbard,TwoRuns,1.214
Shell-Sedgewick,TwoRuns,1.202
Shell-Powers2+1,TwoRuns,1.189
Shell-3Smooth,TwoRuns,1.293
Shell-Knuth,TwoRuns,1.188
