algorithm,n,average_waste
BF,10,0.46069234536132386
BF,100,0.7353015187659782
BF,500,1.2169026795631885
BF,1000,1.6023467330966668
BF,2500,2.8793811962500397
BF,5000,4.168269069347383
BF,10000,6.866469910678927
BFD,10,0.41069234536132376
BFD,100,0.5853015187659778
BFD,500,0.5669026795631986
BFD,1000,0.6023467330966824
BFD,2500,0.5793811962498865
BFD,5000,0.568269069347241
BFD,10000,0.6164699106789158
FF,10,0.46069234536132386
FF,100,0.7353015187659782
FF,500,1.3669026795631887
FF,1000,1.9523467330966668
FF,2500,3.27938119625004
FF,5000,5.268269069347383
FF,10000,8.366469910678926
FFD,10,0.4106923453613239
FFD,100,0.5853015187659781
FFD,500,0.5669026795631886
FFD,1000,0.6023467330966668
FFD,2500,0.62938119625004
FFD,5000,0.5682690693473831
FFD,10000,0.6164699106789271
NF,10,0.5106923453613239
NF,100,2.585301518765978
NF,500,12.066902679563189
NF,1000,23.402346733096667
NF,2500,57.77938119625004
NF,5000,114.46826906934739
NF,10000,230.4664699106789
